
JÄGERAUSDRUCK|lemma idGJ00283.GJ00283 | m.|gram idGJ00283.GJ00283 |
JÄGERBEUTE|lemma idGJ00284.GJ00284 | f.|gram idGJ00284.GJ00284 |
JÄGERBRAUCH|lemma idGJ00285.GJ00285 | m.|gram idGJ00285.GJ00285 |
JÄGERBÜCHSE|lemma idGJ00286.GJ00286 | f.|gram idGJ00286.GJ00286 |
JÄGERBURSCH|lemma idGJ00287.GJ00287 | f.|gram idGJ00287.GJ00287 |
JÄGERBURSCHE|lemma idGJ00288.GJ00288 | m.|gram idGJ00288.GJ00288 |
JÄGERCHEN|lemma idGJ00289.GJ00289 | n.|gram idGJ00289.GJ00289 |
JÄGERDOCKE|lemma idGJ00290.GJ00290 | f.|gram idGJ00290.GJ00290 |
JAGEREI|lemma idGJ00291.GJ00291 | f.|gram idGJ00291.GJ00291 |
JÄGEREI|lemma idGJ00292.GJ00292 |
JÄGERFISCH|lemma idGJ00293.GJ00293 | m.|gram idGJ00293.GJ00293 |
JÄGERFRAU|lemma idGJ00294.GJ00294 | f.|gram idGJ00294.GJ00294 |
JÄGERGARN|lemma idGJ00295.GJ00295 | n.|gram idGJ00295.GJ00295 |
JÄGERGEBRAUCH|lemma idGJ00296.GJ00296 | m.|gram idGJ00296.GJ00296 |
JÄGERGESCHMEIDE|lemma idGJ00297.GJ00297 | n.|gram idGJ00297.GJ00297 |
JÄGERGESCHOSZ|lemma idGJ00298.GJ00298 | n.|gram idGJ00298.GJ00298 |
JÄGERGLÜCK|lemma idGJ00299.GJ00299 | n.|gram idGJ00299.GJ00299 |
JÄGERHANDWERK|lemma idGJ00300.GJ00300 | n.|gram idGJ00300.GJ00300 |
JÄGERHAUS|lemma idGJ00301.GJ00301 | n.|gram idGJ00301.GJ00301 |
JÄGERHELM|lemma idGJ00302.GJ00302 | m.|gram idGJ00302.GJ00302 |
